CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS,PTY_GROUP
C00880641,YOUNG MEN RESEARCH INITIATIVE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880682,PIVOT VICTORY FUND,137043.6,292043.0,17.0,17179.0,EFFICIENT,DEM
C00880690,FIX OUR CITY DIFFERENT,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880765,A BETTER WISCONSIN TOGETHER ACTION,5083561.49,5116426.0,84.0,60909.833333333336,EFFICIENT,BIPARTISAN
C00880773,AMERICA'S FIREBRAND PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880815,GREATER GEORGIA ACTION,93672.0,93669.0,11.0,8515.363636363636,MODERATE,BIPARTISAN
C00880831,ONE NEW JERSEY UNITED,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880849,VIRGINIANS AGAINST SEXUAL ASSAULT PAC,13673.4,13673.0,2.0,6836.5,MODERATE,DEM
C00880906,UNITED 2024,649577.69,649576.0,6.0,108262.66666666667,EFFICIENT,BIPARTISAN
C00881011,UNITY & JUSTICE FUND,13628.01,72860.0,17.0,4285.882352941177,MODERATE,BIPARTISAN
C00881102,RESTORE INTEGRITY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00881250,MAKE BITCOIN GREAT AGAIN,,0.0,0.0,0.0,INEFFICIENT,
C00881276,SAVE URBAN AMERICA VICTORY FUND,0.0,0.0,0.0,0.0,INEFFICIENT,
C00881284,51 PERCENT PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
