CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,TTL_RECEIPTS,TRANS_FROM_AFF,IND_ITEM_CONTRIB,IND_UNITEM_CONTRIB,IND_CONTRIB,POL_PTY_CONTRIB,OTHER_POL_CMTE_CONTRIB,CAND_CONTRIB,TTL_CONTRIB,TRANF_FROM_OTHER_AUTH_CMTE,LOANS_MADE_BY_CAND,ALL_OTHER_LOANS,TTL_LOANS,OFFSETS_TO_OP_EXPEND,OFFSETS_TO_FNDRSG,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXPEND,OTHER_RECEIPTS,TTL_DISBURSEMENTS,TRANF_TO_OTHER_AUTH_CMTE,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,TTL_LOAN_REPAY,IND_REFUND,POL_PTY_CMTE_REFUND,OTHER_POL_CMTE_REFUND,TTL_CONTRIB_REFUND,OTHER_DISBURSEMENTS,SHARED_FED_OP_EXPEND,SHARED_NONFED_OP_EXPEND,SHARED_FED_ACTVY,SHARED_NONFED_ACTVY,FNDRSG_DISBURSEMENTS,EXEMPT_LEGAL_ACCTG_DISB,MAIL_PHONE_CAMPAIGNS,DIRECT_CAND_SUPPORT,COORD_EXPEND_BY_PTY_CMTE,LOAN_REPAY_TO_CAND,LOANS_MADE,IND_EXPEND,PTY_COORD_EXPEND,NONFED_SHARE_ALLOC_EXPEND,CONTRIB_TO_OTHER_CMTE,TTL_CONTRIB_TO_OTHER_CMTE,CVG_END_DT,OFFICE_SEGMENT,TOTAL_DEM_DISB,TOTAL_REP_DISB,IMBALANCE_SCORE,PTY_GROUP,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_RATE,Q4_CONCENTRATION,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,O,B,M,20077753.89,0.0,20059146.0,0.0,0.0,0.0,0.0,20069097.66,0.0,0.0,0.0,0.0,0.0,6768.05,15424.28,0.0,0.0,7650000.0,11750451.66,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,10578120.0,11910414.0,0.05924325703044939,BIPARTISAN,1.0,0.0,0,0.39849624060150374,11579359.0,0.9854397053253029,MEGADONOR_DEPENDENT,18400449.0,74.0,248654.7162162162,EFFICIENT
C00488783,SPEECHNOW.ORG,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3055.07,3055.07,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.87,209.87,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00489252,NEW POWER PAC,O,U,Q,91553.14,0.0,91553.14,0.0,0.0,0.0,0.0,86989.82,0.0,0.0,0.0,0.0,0.0,1971.73,6535.05,0.0,0.0,0.0,614.89,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,1222.0,0.0,1.0,DEM,0.9936736652084113,0.006326334791588728,0,1.0,0.0,0.0,BROAD_BASED,611.0,7.0,87.28571428571429,INEFFICIENT
C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,O,U,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27166.4,0.0,0.0,0.0,0.0,0.0,48638.67,21472.27,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00489625,FAITH FAMILY FREEDOM FUND,O,U,M,122633.76,0.0,122633.76,0.0,0.0,0.0,0.0,38322.72,0.0,0.0,0.0,0.0,0.0,1874.62,86185.66,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00489641,ACCOUNTABILITY 2010,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,27694.12,27465.12,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00490136,THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMITTEE,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.53,1044.53,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00490193,WORKING FAMILIES FOR HAWAII,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,9662.03,9224.03,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,O,B,Q,10820000.0,0.0,0.0,5020000.0,0.0,0.0,0.0,10513801.86,0.0,0.0,0.0,0.0,0.0,900051.91,1206250.05,114161.66,0.0,250000.0,9510616.89,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,22207934.0,0.0,1.0,DEM,1.0,0.0,0,0.2092102169224488,8491133.0,0.7722398360559871,MEGADONOR_DEPENDENT,11245461.0,233.0,48263.78111587983,EFFICIENT
C00490649,U.S. ISRAEL FRIENDSHIP PAC,O,U,Q,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592.34,3598.76,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00490730,RGA RIGHT DIRECTION PAC,O,U,Q,14248928.96,0.0,0.0,13700000.0,0.0,0.0,0.0,14139889.73,0.0,0.0,245588.23,0.0,0.0,472113.38,581152.61,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00490847,WORKING FOR WORKING AMERICANS - FEDERAL,O,B,Q,32773043.18,0.0,32773043.18,0.0,0.0,0.0,0.0,35059353.29,0.0,0.0,0.0,0.0,0.0,4334227.7,2047917.59,0.0,0.0,35018333.33,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,0.0,,NON_PARTISAN,1.0,0.0,0,0.10092334120678548,,0.0,BROAD_BASED,35018333.0,25.0,1400733.32,EFFICIENT
C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,O,U,M,752064.0,0.0,752064.0,0.0,0.0,0.0,0.0,752936.19,0.0,0.0,0.0,0.0,0.0,48216.72,47344.53,0.0,0.0,0.0,150244.1,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,260486.0,20000.0,0.8573903866859665,DEM,0.9999926785810557,7.321418944328251e-06,0,0.6655884134368989,0.0,0.0,BROAD_BASED,150243.0,8.0,18780.375,EFFICIENT
C00492215,CHRISTINEPAC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.11,539.11,32217.92,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00494997,DOWNTOWN FOR DEMOCRACY,O,U,T,7298.49,0.0,817.25,0.0,0.0,0.0,0.0,41628.42,0.0,0.0,0.0,0.0,0.0,34329.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/03/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00495259,"IMMIGRATION911,  LLC",O,U,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00496349,REPUBLICAN SUPER PAC INC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.73,166.73,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00498832,GOVERNMENT INTEGRITY FUND ACTION NETWORK; THE,O,U,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00499525,KEEP CONSERVATIVES UNITED,O,B,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5117.8,0.0,0.0,0.0,0.0,0.0,5117.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/30/2023,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00502377,TEXANS FOR AMERICA'S FUTURE,O,U,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,O,U,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374635.41,374635.41,390000.0,0.0,0.0,0.0,0.0,0.0,11/30/2023,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00503458,"LA FORWARD, INC.",O,U,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13405.43,0.0,0.0,0.0,0.0,0.0,13405.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/26/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00503789,DGA ACTION,O,U,M,224412.04,0.0,16771.64,0.0,0.0,0.0,0.0,238003.84,0.0,0.0,0.0,0.0,0.0,33285.41,19693.61,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00503870,COMMONWEALTH VALUES PAC,U,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.99,0.0,0.0,0.0,0.0,0.0,1018.55,608.56,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
