CMTE_ID,CMTE_NM,CMTE_TP,TTL_RECEIPTS,TTL_DISBURSEMENTS,OFFICE_SEGMENT,TOTAL_DEM_DISB,TOTAL_REP_DISB,IMBALANCE_SCORE,PTY_GROUP
C00487470,CLUB FOR GROWTH ACTION,O,88619558.43,18476694.08,OTHER,10961862.0,26387928.0,0.41301613744013016,BIPARTISAN
C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,O,5657.46,2816.41,OTHER,5622.0,0.0,1.0,DEM
C00488338,ADPAC INDEPENDENT EXPENDITURES COMMITTEE,O,181806.3,97417.12,OTHER,0.0,194832.0,1.0,REP
C00488403,TEXAS PATRIOTS PAC,O,28808.01,650.28,OTHER,0.0,1292.0,1.0,REP
C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,O,0.0,0.0,OTHER,,,,
C00488437,CONCERNED TAXPAYERS OF AMERICA,O,,,OTHER,,,,
C00488486,COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,O,15145982.29,436168.95,OTHER,867074.0,5260.0,0.9879403989756217,DEM
C00488494,NEW PROSPERITY FOUNDATION; THE,O,150013.13,8000.0,OTHER,16000.0,0.0,1.0,DEM
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,O,20077753.89,11750451.66,OTHER,10578120.0,11910414.0,0.05924325703044939,BIPARTISAN
C00488783,SPEECHNOW.ORG,O,0.0,0.0,OTHER,,,,
C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,O,0.0,0.0,OTHER,,,,
C00489252,NEW POWER PAC,O,91553.14,614.89,OTHER,1222.0,0.0,1.0,DEM
C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,O,0.0,0.0,OTHER,,,,
C00489625,FAITH FAMILY FREEDOM FUND,O,122633.76,0.0,OTHER,,,,
C00489641,ACCOUNTABILITY 2010,O,0.0,0.0,OTHER,,,,
C00490136,THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMITTEE,O,0.0,0.0,OTHER,,,,
C00490193,WORKING FAMILIES FOR HAWAII,O,0.0,0.0,OTHER,,,,
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,O,10820000.0,9510616.89,OTHER,22207934.0,0.0,1.0,DEM
C00490649,U.S. ISRAEL FRIENDSHIP PAC,O,6.42,0.0,OTHER,,,,
C00490730,RGA RIGHT DIRECTION PAC,O,14248928.96,0.0,OTHER,,,,
C00490847,WORKING FOR WORKING AMERICANS - FEDERAL,O,32773043.18,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,O,752064.0,150244.1,OTHER,260486.0,20000.0,0.8573903866859665,DEM
C00492215,CHRISTINEPAC,O,0.0,0.0,OTHER,,,,
C00494997,DOWNTOWN FOR DEMOCRACY,O,7298.49,0.0,OTHER,,,,
C00495259,"IMMIGRATION911,  LLC",O,,,OTHER,,,,
C00496349,REPUBLICAN SUPER PAC INC,O,0.0,0.0,OTHER,,,,
C00498832,GOVERNMENT INTEGRITY FUND ACTION NETWORK; THE,O,,,OTHER,,,,
C00499525,KEEP CONSERVATIVES UNITED,O,0.0,0.0,OTHER,,,,
C00502377,TEXANS FOR AMERICA'S FUTURE,O,,,OTHER,,,,
C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,O,0.0,0.0,OTHER,,,,
C00503458,"LA FORWARD, INC.",O,0.0,0.0,OTHER,,,,
C00503789,DGA ACTION,O,224412.04,0.0,OTHER,,,,
C00503870,COMMONWEALTH VALUES PAC,U,0.0,0.0,OTHER,,,,
C00505792,AMERICAN CONSERVATIVE UNION SUPER PAC,O,0.0,0.0,OTHER,,,,
C00507707,RESTORING AMERICA'S TRADITIONS PAC (RATPAC),O,,,OTHER,,,,
C00508200,1911 UNITED,O,7250.0,0.0,OTHER,,,,
C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,O,2070138.25,1437320.66,OTHER,2714994.0,164296.0,0.8858774211698023,DEM
C00508556,CENTRIST INDEPENDENT VOTER POLITICAL ACTION COMMITTEE,O,1126.91,0.0,OTHER,,,,
C00508689,SMALLBIZADVOCATES.ORG,O,0.0,0.0,OTHER,,,,
C00508952,A SUPERPAC,O,0.0,0.0,OTHER,,,,
C00509463,PROTECTING OUR VOTE PAC,O,205255.0,36204.0,OTHER,72396.0,0.0,1.0,DEM
C00509802,HISPANIC VOTE POLITICAL ACTION COMMITTEE,O,0.0,0.0,OTHER,,,,
C00509893,NATIONAL RIGHT TO LIFE VICTORY FUND,O,600258.06,286596.43,OTHER,440.0,572196.0,0.9984632471587536,REP
C00510107,TAXPAYER NETWORK PAC,O,0.0,0.0,OTHER,,,,
C00510701,JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE - JOFPAC,O,0.0,0.0,OTHER,,,,
C00510727,CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),O,0.0,0.0,OTHER,,,,
C00511915,AMERICAN WORKING FAMILIES,O,45.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00512293,THE VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,O,1736500.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00512335,MIDDLE RESOLUTION FEDERAL PAC INC,O,0.0,0.0,OTHER,,,,
C00512871,AMERICAN VALUES COALITION,O,210.0,0.0,OTHER,,,,
C00513366,STRENGTH AND LIBERTY PAC,O,0.0,0.0,OTHER,,,,
C00513804,"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",O,0.0,0.0,OTHER,,,,
C00514125,THE AMERICAN FOUNDATIONS COMMITTEE,O,2587500.0,2394348.85,OTHER,0.0,4788674.0,1.0,REP
C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,O,0.0,0.0,OTHER,,,,
C00515593,LUNCH PAIL REPUBLICANS INDEPENDENT EXPENDITURE ONLY COMMITTEE,O,2000.0,0.0,OTHER,,,,
C00517276,FRIENDS OF TRADITIONAL BANKING INC,O,298351.0,0.0,OTHER,,,,
C00518779,CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC),O,0.0,0.0,OTHER,,,,
C00519363,NATIONAL HORIZON,O,1600000.0,950000.0,OTHER,2000000.0,0.0,1.0,DEM
C00521013,FLORIDA FREEDOM PAC,O,167931.58,287122.91,OTHER,461134.0,113092.0,0.6061063065761564,BIPARTISAN
C00521211,SPIRIT OF DEMOCRACY AMERICA,O,21500.0,6000.0,OTHER,0.0,12000.0,1.0,REP
C00522227,CONSERVATIVE ACTION COMMITTEE,O,0.0,0.0,OTHER,,,,
C00522458,TOGETHER WE THRIVE,O,,,OTHER,,,,
C00522474,INDIANA REPUBLICAN ASSEMBLY SUPER PAC,O,1438.53,0.0,OTHER,,,,
C00522649,ENERGIZE PAC,O,0.0,0.0,OTHER,,,,
C00523241,SPECIAL OPERATIONS FOR AMERICA,O,5149297.31,676383.0,OTHER,0.0,1252766.0,1.0,REP
C00523498,COURAGE CALIFORNIA SUPER PAC,O,48883.0,11190.04,OTHER,29152.0,36.0,0.9975332328354118,DEM
C00523621,UNITED WE CAN,O,4136976.78,2466643.07,OTHER,5442968.0,225402.0,0.9204702586457836,DEM
C00524181,SENATE CONSERVATIVES ACTION,O,2338825.88,1086612.37,OTHER,0.0,2173136.0,1.0,REP
C00524751,CONNECTICUT'S FUTURE PAC INC,O,0.0,0.0,OTHER,,,,
C00526269,TEAM [TEAMSTERS EDUCATION AND MOBILIZATION],O,38876.33,0.0,OTHER,,,,
C00526673,FAIR SHARE ACTION,O,1526594.16,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,O,536700.65,27.31,OTHER,28.0,0.0,1.0,DEM
C00527804,AMERICAN PRINCIPLES FUND,O,100.0,0.0,OTHER,,,,
C00528554,RJC VICTORY FUND,O,17018627.15,13344390.75,OTHER,22689992.0,3424176.0,0.7377533911859646,BIPARTISAN
C00528760,POLISH AMERICAN LEADERSHIP POLITICAL ACTION COMMITTEE,O,0.0,0.0,OTHER,,,,
C00528869,OHIOANS UNITED ACTION FUND,O,0.0,0.0,OTHER,,,,
C00528893,STANDING FOR WISCONSIN FAMILIES,O,0.0,0.0,OTHER,,,,
C00528901,HOMETOWN FREEDOM ACTION NETWORK,O,250269.73,45961.64,OTHER,0.0,91914.0,1.0,REP
C00528950,BLACK MEN VOTE PAC,O,1230997.01,0.0,OTHER,,,,
C00529818,GRAND OLD PRINCIPLES,O,,,OTHER,,,,
C00530766,WOMEN SPEAK OUT PAC,O,11938802.4,7003104.0,OTHER,10536260.0,3469848.0,0.5045235978474534,BIPARTISAN
C00531624,LOCAL VOICES,O,957560.23,761674.76,OTHER,1613344.0,0.0,1.0,DEM
C00531814,ENVIRONMENT AMERICA ACTION FUND,O,4372397.1,10609.13,OTHER,18224.0,2974.0,0.7194074912727616,BIPARTISAN
C00532416,FARM PAC,O,17837.07,0.0,OTHER,,,,
C00532572,AMERICA'S LIBERTY PAC,O,5000.0,0.0,OTHER,,,,
C00532630,OUR AMERICAN CENTURY,O,1527775.0,905250.0,OTHER,1046000.0,370000.0,0.4774011299435028,BIPARTISAN
C00532705,INDEPENDENCE USA PAC,O,1087712.22,0.0,OTHER,,,,
C00532812,PROGRESSIVE USA VOTERS,O,0.0,0.0,OTHER,,,,
C00540203,DEFENDING MAIN STREET SUPERPAC INC.,O,4610383.61,4505033.15,OTHER,4973596.0,3072474.0,0.23627957499748325,BIPARTISAN
C00540898,TEA PARTY PATRIOTS CITIZENS FUND,O,2018450.5,615578.62,OTHER,0.0,1231140.0,1.0,REP
C00541045,GOAL WESTPAC,O,2000.0,0.0,OTHER,,,,
C00542902,AMERICARISINGPAC.ORG,O,-1240.3,0.0,OTHER,,,,
C00543256,"KSL, INC.",O,25000.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00543454,AMERICAN LEAGUE OF CHARITABLE ORGANIZATIONS,O,0.0,0.0,OTHER,,,,
C00544528,CITIZENS UNITED FOR EDUCATION,O,0.0,0.0,OTHER,,,,
C00544544,NEW REPUBLICAN PAC,O,0.0,0.0,OTHER,,,,
C00544551,HEARTLAND RESURGENCE,O,2711050.0,2140500.03,OTHER,0.0,0.0,,NON_PARTISAN
C00545798,AMERICAN LIBERTY PAC,O,0.0,0.0,OTHER,,,,
C00546481,EQUIDAD POLITICAL ACTION COMMITTEE,O,0.0,0.0,OTHER,,,,
C00546911,THE MOBILIZATION PROJECT,O,0.0,0.0,OTHER,,,,
C00548461,CLIMATE HAWKS VOTE POLITICAL ACTION,O,109687.4,0.0,OTHER,1000.0,0.0,1.0,DEM
C00548867,AMERICAN HEARTLAND PAC,O,0.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00549063,EMERGES.COM INC POLITICAL ACTION COMMITTEE AKA EMERGES PAC,O,0.0,0.0,OTHER,,,,
C00549279,FIGHT FOR TOMORROW,O,108000.58,0.0,OTHER,,,,
C00549568,WINNING FLORIDA,O,0.0,0.0,OTHER,,,,
C00550269,YESTERDAY'S OPTIMISM UNTO THE NEXT GENERATION PAC (YOUNG PAC),O,,,OTHER,,,,
C00550509,DETROITERS VOTE,O,0.0,0.0,OTHER,,,,
C00551382,VOTECLIMATE.US PAC,O,4271.89,0.0,OTHER,,,,
C00555094,MICHIGAN PIPE TRADES ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE (MPAC) INDEPENDENT EXPENDITURE CO,O,280216.91,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00555540,COALITION FOR KENTUCKY JOB CREATION ,O,0.0,0.0,OTHER,,,,
C00555862,"FOUNDATION FOR A GREATER AMERICA, INC.",O,,,OTHER,,,,
C00556274,USW WORKS,O,1790647.39,53583.18,OTHER,107132.0,0.0,1.0,DEM
C00556860,PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA VOTES PAC,O,2769047.53,2095839.67,OTHER,1743468.0,2658618.0,0.20789007756777128,BIPARTISAN
C00557561,NEW HAMPSHIRE PRIORITIES,O,240025.0,0.0,OTHER,,,,
C00557934,UNITAS INC,O,0.0,0.0,OTHER,,,,
C00558049,MUNOZ GROUP PAC,O,0.0,0.0,OTHER,,,,
C00558445,ARIZONA GRASSROOTS ACTION PAC,O,0.0,0.0,OTHER,,,,
C00558544,ENOUGH IS ENOUGH PAC,O,0.0,0.0,OTHER,,,,
C00559906,AMERICAS PAC,O,4016849.01,2528984.5,OTHER,4225968.0,832000.0,0.6710141305757569,BIPARTISAN
C00560854,GLOBAL DEMOCRATIC PAC,O,0.0,0.0,OTHER,,,,
C00560904,RAGA ACTION FUND,O,605000.0,0.0,OTHER,,,,
C00561480,CITIZENS FOR RESPONSIBLE LEADERSHIP,O,0.0,0.0,OTHER,,,,
C00562272,X-FUND,O,0.0,0.0,OTHER,,,,
C00562405,INDEPENDENT LEADERSHIP FOR NEW HAMPSHIRE PAC,O,0.0,0.0,OTHER,,,,
C00562595,MORNING IN AMERICA PAC,O,161039.76,0.0,OTHER,,,,
C00564013,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,O,595.48,0.0,OTHER,,,,
C00564997,DIRECT SELLING EMPOWERS AMERICANS,O,0.0,0.0,OTHER,,,,
C00565689,PROSPERITY FOR PENNSYLVANIA INC.,O,0.0,0.0,OTHER,,,,
C00565846,IOWA VALUES,O,25.0,0.0,OTHER,,,,
C00566182,LEADERSHIP PROJECT FOR AMERICA PAC,O,0.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00566463,THE PRINCIPLES PROJECT,O,238500.01,0.0,OTHER,,,,
C00567313,VISIONARY LEADERS FUND,O,28300.0,0.0,OTHER,,,,
C00567396,CHANGE CAMPAIGN SUPER PAC,O,21933.72,20000.0,OTHER,40000.0,0.0,1.0,DEM
C00568170,PRIORITIES FOR IOWA POLITICAL FUND,O,0.0,0.0,OTHER,,,,
C00568444,CENTER FORWARD COMMITTEE,O,999528.56,850000.0,OTHER,1700000.0,0.0,1.0,DEM
C00568519,CONCRETE AND PORTLAND CEMENT ACTION NETWORK,O,137534.56,0.0,OTHER,,,,
C00568931,MI PLANNED PARENTHOOD VOTES,O,813761.31,798283.66,OTHER,926140.0,685600.0,0.14924243364314344,BIPARTISAN
C00568964,LIUNA BUILDING AMERICA,O,5445839.66,200000.0,OTHER,320000.0,80000.0,0.6,BIPARTISAN
C00569319,OHIOANS FOR A BETTER FUTURE,O,4000.0,0.0,OTHER,,,,
C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,O,3658.44,0.0,OTHER,,,,
C00569392,FOR JUDICAL FAIRNESS PROJECT; THE,O,10.0,0.0,OTHER,,,,
C00569582,KANSAS AG COMMUNITIES COALITION,O,0.0,0.0,OTHER,,,,
C00569616,WASHINGTON'S FUTURE,O,0.33,0.0,OTHER,,,,
C00569996,ACTION PAC,O,2250.0,0.0,OTHER,,,,
C00570721,LONG ISLAND LAW ENFORCEMENT FOUNDATION,O,150002.58,0.0,OTHER,,,,
C00571398,BLAKPAC,O,103191.6,0.0,OTHER,,,,
C00571554,LEADERSHIP ALLIANCE,O,0.0,0.0,OTHER,,,,
C00571588,RESTORATION PAC,O,91002654.71,42999847.59,OTHER,83718514.0,2281146.0,0.9469498832902362,DEM
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,O,0.0,0.0,OTHER,,,,
C00572792,VICTORY FUND,O,0.0,0.0,OTHER,,,,
C00573733,SECURITY IS STRENGTH PAC,O,736048.8,113690.75,OTHER,0.0,227380.0,1.0,REP
C00574749,CONSERVATIVES FOR EFFECTIVE GOVERNMENT,O,1375992.72,1318294.55,OTHER,0.0,2636588.0,1.0,REP
C00580837,IRON DOME ALLIANCE,O,0.0,0.0,OTHER,,,,
C00581868,NEW DAY FOR AMERICA,O,,,OTHER,,,,
C00582072,SAVING OUR LAKES AND OPEN SPACES IN RANCHO MURIETA POLITICAL ACTION COMMITTEE,O,0.0,0.0,OTHER,,,,
C00582700,LET AMERICA WORK,O,0.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00582841,COALITION FOR PROGRESS,O,3661929.28,0.0,OTHER,,,,
C00586487,A TIME FOR CHOOSING,O,0.0,0.0,OTHER,,,,
C00586610,GOOD JOBS AND STRONG COMMUNITIES PAC,O,0.0,0.0,OTHER,,,,
C00587022,COURAGEOUS CONSERVATIVES PAC,O,268853.68,228736.51,OTHER,0.0,326100.0,1.0,REP
C00589747,AMERICAN PATRIOTS LLC,O,0.0,0.0,OTHER,,,,
C00591040,USA SUPER PAC INC,O,0.0,0.0,OTHER,,,,
C00591131,FRUGAL HOOSIERS,O,0.0,0.0,OTHER,,,,
C00592303,OREGON RIGHT TO LIFE VICTORY PAC,O,184229.13,32556.3,OTHER,13474.0,11940.0,0.06036043125836153,BIPARTISAN
C00592337,"STAND FOR TRUTH, INC.",O,0.0,0.0,OTHER,,,,
C00592808,THE COLLECTIVE SUPER PAC,O,165410.5,0.0,OTHER,4893.0,0.0,1.0,DEM
C00594507,MIDDLE CLASS VALUES PAC,O,25010.0,23988.24,OTHER,47976.0,0.0,1.0,DEM
C00595686,FAMILY POLICY PAC,O,2332.42,0.0,OTHER,,,,
C00604496,AMERICANS UNITED FOR VALUES,O,479353.04,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00607119,THE PALMETTO PAC,O,0.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00609388,BLACKPAC,O,34730788.88,29393201.45,OTHER,57403168.0,1446180.0,0.9508514520840571,DEM
C00610337,CONSERVATIVE RESULTS,O,0.0,0.0,OTHER,,,,
C00610394,LETS CLEAN UP WASHINGTON,O,0.0,0.0,OTHER,,,,
C00612820,COMMUNITY CHANGE VOTERS,O,4592032.71,2562576.47,OTHER,5015680.0,203458.0,0.9220338684280814,DEM
C00612846,THE DEMOCRATIC COALITION,O,10739.24,0.0,OTHER,,,,
C00613091,WISCONSIN RIGHT TO LIFE VICTORY FUND,O,0.0,0.0,OTHER,,,,
C00614859,SOLUTIONS NJ PAC,O,0.0,0.0,OTHER,,,,
C00615377,PACOH.IO,O,0.0,0.0,OTHER,,,,
C00615898,FULL EMPLOYMENT NOW-POLITICAL ACTION COMMITTEE,O,2367.06,0.0,OTHER,,,,
C00616128,DEFEND LOUISIANA PAC,O,,,OTHER,,,,
C00619072,TEA PARTY EXPRESS CAMPAIGN FUND,O,0.0,0.0,OTHER,,,,
C00619445,WARRIOR PAC,O,0.0,0.0,OTHER,,,,
C00619759,CREATIVE MAJORITY POLITICAL ACTION COMMITTEE,O,50002.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00620971,FOR OUR FUTURE,O,12401852.71,11308766.16,OTHER,22178120.0,937534.0,0.9188831949119848,DEM
C00621755,PEOPLE AND POLITICS,O,2106.17,500.0,OTHER,0.0,1000.0,1.0,REP
C00622340,JOBS AND OPPORTUNITY,O,350000.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00622415,"KENTUCKY TOMORROW, INC.",O,0.0,0.0,OTHER,,,,
C00622464,STANDING BY VETERANS PAC,O,290.0,0.0,OTHER,,,,
C00622472,"ASSOCIATION FOR EMERGENCY RESPONDERS AND FIREFIGHTERS, PAC",O,2369.02,0.0,OTHER,,,,
C00622910,"DECLARATION OF LIBERTY, LLC",O,0.0,0.0,OTHER,,,,
C00623355,NATIONAL TREASURY EMPLOYEES UNION ADVOCACY COMMITTEE,O,101421.18,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00623371,AMERICAN VALUES PAC INC.,O,0.8,0.0,OTHER,,,,
C00624015,OUR NATION UNITED,O,0.0,0.0,OTHER,,,,
C00624056,EDUCATORS FOR OHIO,O,1669330.32,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00624064,KENTUCKY MOVING FORWARD,O,,,OTHER,,,,
C00625137,CITZENS FOR AMERICAN ENERGY FEDERAL PAC,O,25000.0,20000.0,OTHER,0.0,0.0,,NON_PARTISAN
C00625228,SAVE THE DAY PAC,O,4.45,0.0,OTHER,,,,
C00626036,GRASSROOTS NORTH SHORE,O,9545.49,1496.42,OTHER,8396.0,0.0,1.0,DEM
C00626119,"COMMITTEE FOR WORKING FAMILIES, SPONSORED BY LABOR ORGANIZATIONS",O,12396.76,0.0,OTHER,,,,
C00626663,STRONGER NY PAC,O,0.0,0.0,OTHER,,,,
C00626861,WFP IE COMMITTEE,O,46677.49,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00627075,LEGISLATIVE MAJORITY PAC,O,2608064.19,0.0,OTHER,,,,
C00627141,UNITED FOR PROGRESS PAC,O,156802.06,324.0,OTHER,648.0,0.0,1.0,DEM
C00627158,ONE VOTE AT A TIME,O,0.0,0.0,OTHER,,,,
C00627240,WORKING MICHIGAN (SUPERPAC),O,0.0,0.0,OTHER,,,,
C00627372,UNITE HERE PAC,O,15382500.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00627414,POLICY OVER PARTY,O,950000.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00628115,MISSOURI RIGHT TO LIFE VICTORY FUND,O,905.61,9392.0,OTHER,0.0,18784.0,1.0,REP
C00629444,MAKE LOUISIANA GREAT AGAIN,O,19.16,0.0,OTHER,,,,
C00629477,ULTRAVIOLET PAC,O,135720.81,98901.28,OTHER,245802.0,0.0,1.0,DEM
C00629543,"FREEDOM BUILDERS, INC.",O,0.0,0.0,OTHER,,,,
C00630129,DEMOCRACY LEGACY,O,465318.8,0.0,OTHER,,,,
C00631549,FORWARD MAJORITY ACTION,O,38140024.31,1763615.0,OTHER,3527230.0,0.0,1.0,DEM
C00631903,PA VALUES,O,325580.2,48000.0,OTHER,0.0,96000.0,1.0,REP
C00632679,CONSERVATIVE LOUISIANA,O,577750.7,0.0,OTHER,,,,
C00634261,DEFEND US PAC,O,1617187.6,1201000.0,OTHER,2402000.0,0.0,1.0,DEM
C00637041,FUND FOR A WORKING CONGRESS,O,225000.0,35000.0,OTHER,70000.0,0.0,1.0,DEM
C00637348,REACH TO ACHIEVE,O,1033.86,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00637512,"AMERICA FIRST ACTION, INC.",O,562632.0,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00637520,OHIO MAJORITY TRUST,O,0.0,0.0,OTHER,,,,
C00638528,LOUISIANA LEGACY PAC,O,1303204.62,22390.0,OTHER,0.0,44780.0,1.0,REP
C00639708,ASSOCIATION FOR FIREFIGHTERS PAC DBA ASSOCIATION FOR FIREFIGHTERS,O,26602.87,4088.0,OTHER,0.0,8176.0,1.0,REP
C00639948,EQUALITY 51,O,48914.4,0.0,OTHER,,,,
C00640300,ACTIVATE AMERICA,O,1523364.84,110841.62,OTHER,192308.0,39868.0,0.6565708772655227,BIPARTISAN
C00647271,LINCOLN-ROOSEVELT PAC,O,0.0,0.0,OTHER,,,,
C00647289,GUARD FREEDOM,O,0.0,0.0,OTHER,,,,
C00648717,SWAMP DRAINERS FOUNDATION,O,1419.0,0.0,OTHER,,,,
C00649996,1ST DISTRICT DEMOCRATS,O,9125.78,0.0,OTHER,,,,
C00650432,"DEMOCRATS WORK FOR AMERICA, INC",O,55800.67,10578.09,OTHER,17874.0,0.0,1.0,DEM
C00651091,LEADERSHIP FOR A STRONG AMERICA,O,16500.0,0.0,OTHER,,,,
C00651505,JUSTICE & PUBLIC SAFETY PAC,O,744226.19,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00652867,STAND FIRM AMERICA,O,0.0,0.0,OTHER,,,,
C00652982,SOLUTION FUND PAC,O,0.0,0.0,OTHER,,,,
C00656413,FEDERAL DEMOCRATIC ELECTION COMMITTEE,O,31985.7,0.0,OTHER,,,,
C00657866,PROTECT FREEDOM POLITICAL ACTION COMMITTEE,O,19599051.34,9160728.55,OTHER,200000.0,18121438.0,0.9781676525608961,REP
C00659011,"WITH HONOR FUND, INC.",O,4356143.59,0.0,OTHER,0.0,0.0,,NON_PARTISAN
C00659219,AMERICAN JOBS AND GROWTH PAC,O,1536588.85,156604.25,OTHER,98660.0,262580.0,0.45377034658398846,BIPARTISAN
C00659482,C-FARAR,O,0.0,0.0,OTHER,,,,
C00661496,PROGRESS PUERTO RICO PAC,O,2550.0,0.0,OTHER,,,,
C00664094,SUNSHINE COLORADO,O,0.0,0.0,OTHER,,,,
C00665323,FIRST FREEDOM OHIO PAC,O,20.0,0.0,OTHER,,,,
C00668301,DEFENDARIZONA,O,0.0,0.0,OTHER,,,,
C00669242,CFG ACTION MONTANA,O,0.0,0.0,OTHER,,,,
C00669325,LONE STAR VALUES PAC,O,0.0,0.0,OTHER,,,,
C00670265,7GEN LEADERS,O,400.0,0.0,OTHER,,,,
C00670513,TENTH AMENDMENT ACTION PROJECT,O,0.0,0.0,OTHER,,,,
C00671669,MISSISSIPPI VICTORY FUND,O,0.0,0.0,OTHER,,,,
C00671685,AUTISM HEAR US NOW PAC,O,889600.01,233807.33,OTHER,273568.0,270052.0,0.006467753209962842,BIPARTISAN
