CMTE_ID,CMTE_NM,TTL_RECEIPTS,TTL_DISBURSEMENTS,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,PTY_GROUP
C00513804,"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",0.0,0.0,,0.0,BROAD_BASED,
C00514125,THE AMERICAN FOUNDATIONS COMMITTEE,2587500.0,2394348.85,1843569.0,0.7699705596998251,MEGADONOR_DEPENDENT,REP
C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,0.0,0.0,,0.0,BROAD_BASED,
C00515593,LUNCH PAIL REPUBLICANS INDEPENDENT EXPENDITURE ONLY COMMITTEE,2000.0,0.0,,0.0,BROAD_BASED,
C00517276,FRIENDS OF TRADITIONAL BANKING INC,298351.0,0.0,,0.0,BROAD_BASED,
C00518779,CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC),0.0,0.0,,0.0,BROAD_BASED,
C00519363,NATIONAL HORIZON,1600000.0,950000.0,950000.0,1.0,MEGADONOR_DEPENDENT,DEM
C00521013,FLORIDA FREEDOM PAC,167931.58,287122.91,0.0,0.0,BROAD_BASED,BIPARTISAN
C00521211,SPIRIT OF DEMOCRACY AMERICA,21500.0,6000.0,0.0,0.0,BROAD_BASED,REP
C00522227,CONSERVATIVE ACTION COMMITTEE,0.0,0.0,,0.0,BROAD_BASED,
C00522458,TOGETHER WE THRIVE,,,,0.0,BROAD_BASED,
C00522474,INDIANA REPUBLICAN ASSEMBLY SUPER PAC,1438.53,0.0,,0.0,BROAD_BASED,
C00522649,ENERGIZE PAC,0.0,0.0,,0.0,BROAD_BASED,
C00523241,SPECIAL OPERATIONS FOR AMERICA,5149297.31,676383.0,0.0,0.0,BROAD_BASED,REP
C00523498,COURAGE CALIFORNIA SUPER PAC,48883.0,11190.04,0.0,0.0,BROAD_BASED,DEM
C00523621,UNITED WE CAN,4136976.78,2466643.07,103403.0,0.03643279067432179,BROAD_BASED,DEM
C00524181,SENATE CONSERVATIVES ACTION,2338825.88,1086612.37,679992.0,0.6258163317896349,MEGADONOR_DEPENDENT,REP
C00524751,CONNECTICUT'S FUTURE PAC INC,0.0,0.0,,0.0,BROAD_BASED,
