CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_RATE,Q4_CONCENTRATION,PTY_GROUP,OFFICE_SEGMENT
C00528893,STANDING FOR WISCONSIN FAMILIES,0.0,0.0,0.0,0,0.0,,OTHER
C00528901,HOMETOWN FREEDOM ACTION NETWORK,45961.64,1.0,0.0,0,0.0,REP,OTHER
C00528950,BLACK MEN VOTE PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00529818,GRAND OLD PRINCIPLES,,0.0,0.0,0,0.0,,OTHER
C00530766,WOMEN SPEAK OUT PAC,7003104.0,1.0,0.0,0,0.7132629668971784,BIPARTISAN,OTHER
C00531624,LOCAL VOICES,761674.76,1.0,0.0,0,0.9316569336932433,DEM,OTHER
C00531814,ENVIRONMENT AMERICA ACTION FUND,10609.13,0.9990451620443901,0.0009548379556099107,0,1.0,BIPARTISAN,OTHER
C00532416,FARM PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00532572,AMERICA'S LIBERTY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00532630,OUR AMERICAN CENTURY,905250.0,1.0,0.0,0,0.4948909141121237,BIPARTISAN,OTHER
C00532705,INDEPENDENCE USA PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00532812,PROGRESSIVE USA VOTERS,0.0,0.0,0.0,0,0.0,,OTHER
C00540203,DEFENDING MAIN STREET SUPERPAC INC.,4505033.15,1.0,0.0,0,0.2637919664139379,BIPARTISAN,OTHER
C00540898,TEA PARTY PATRIOTS CITIZENS FUND,615578.62,0.9999859969145777,1.4003085422320538e-05,0,0.8391263381906201,REP,OTHER
C00541045,GOAL WESTPAC,0.0,0.0,0.0,0,0.0,,OTHER
C00542902,AMERICARISINGPAC.ORG,0.0,0.0,0.0,0,0.0,,OTHER
C00543256,"KSL, INC.",0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00543454,AMERICAN LEAGUE OF CHARITABLE ORGANIZATIONS,0.0,0.0,0.0,0,0.0,,OTHER
C00544528,CITIZENS UNITED FOR EDUCATION,0.0,0.0,0.0,0,0.0,,OTHER
C00544544,NEW REPUBLICAN PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00544551,HEARTLAND RESURGENCE,2140500.03,0.9999995188040246,4.811959753991957e-07,0,0.7683086981119823,NON_PARTISAN,OTHER
C00545798,AMERICAN LIBERTY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00546481,EQUIDAD POLITICAL ACTION COMMITTEE,0.0,0.0,0.0,0,0.0,,OTHER
C00546911,THE MOBILIZATION PROJECT,0.0,0.0,0.0,0,0.0,,OTHER
C00548461,CLIMATE HAWKS VOTE POLITICAL ACTION,0.0,1.0,0.0,0,0.0,DEM,OTHER
C00548867,AMERICAN HEARTLAND PAC,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00549063,EMERGES.COM INC POLITICAL ACTION COMMITTEE AKA EMERGES PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00549279,FIGHT FOR TOMORROW,0.0,0.0,0.0,0,0.0,,OTHER
C00549568,WINNING FLORIDA,0.0,0.0,0.0,0,0.0,,OTHER
C00550269,YESTERDAY'S OPTIMISM UNTO THE NEXT GENERATION PAC (YOUNG PAC),,0.0,0.0,0,0.0,,OTHER
C00550509,DETROITERS VOTE,0.0,0.0,0.0,0,0.0,,OTHER
C00551382,VOTECLIMATE.US PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00555094,MICHIGAN PIPE TRADES ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE (MPAC) INDEPENDENT EXPENDITURE CO,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00555540,COALITION FOR KENTUCKY JOB CREATION ,0.0,0.0,0.0,0,0.0,,OTHER
C00555862,"FOUNDATION FOR A GREATER AMERICA, INC.",,0.0,0.0,0,0.0,,OTHER
C00556274,USW WORKS,53583.18,1.0,0.0,0,0.5065817496671071,DEM,OTHER
C00556860,PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA VOTES PAC,2095839.67,1.0,0.0,0,0.896854005426119,BIPARTISAN,OTHER
C00557561,NEW HAMPSHIRE PRIORITIES,0.0,0.0,0.0,0,0.0,,OTHER
C00557934,UNITAS INC,0.0,0.0,0.0,0,0.0,,OTHER
C00558049,MUNOZ GROUP PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00558445,ARIZONA GRASSROOTS ACTION PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00558544,ENOUGH IS ENOUGH PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00559906,AMERICAS PAC,2528984.5,0.9999998022921849,1.9770781511940783e-07,0,0.37151282886724474,BIPARTISAN,OTHER
C00560854,GLOBAL DEMOCRATIC PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00560904,RAGA ACTION FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00561480,CITIZENS FOR RESPONSIBLE LEADERSHIP,0.0,0.0,0.0,0,0.0,,OTHER
C00562272,X-FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00562405,INDEPENDENT LEADERSHIP FOR NEW HAMPSHIRE PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00562595,MORNING IN AMERICA PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00564013,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00564997,DIRECT SELLING EMPOWERS AMERICANS,0.0,0.0,0.0,0,0.0,,OTHER
C00565689,PROSPERITY FOR PENNSYLVANIA INC.,0.0,0.0,0.0,0,0.0,,OTHER
C00565846,IOWA VALUES,0.0,0.0,0.0,0,0.0,,OTHER
C00566182,LEADERSHIP PROJECT FOR AMERICA PAC,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00566463,THE PRINCIPLES PROJECT,0.0,0.0,0.0,0,0.0,,OTHER
C00567313,VISIONARY LEADERS FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00567396,CHANGE CAMPAIGN SUPER PAC,20000.0,1.0,0.0,0,0.0,DEM,OTHER
C00568170,PRIORITIES FOR IOWA POLITICAL FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00568444,CENTER FORWARD COMMITTEE,850000.0,1.0,0.0,0,0.6470588235294118,DEM,OTHER
C00568519,CONCRETE AND PORTLAND CEMENT ACTION NETWORK,0.0,0.0,0.0,0,0.0,,OTHER
C00568931,MI PLANNED PARENTHOOD VOTES,798283.66,1.0,0.0,0,0.5830394480499336,BIPARTISAN,OTHER
C00568964,LIUNA BUILDING AMERICA,200000.0,1.0,0.0,0,0.39464171268189036,BIPARTISAN,OTHER
C00569319,OHIOANS FOR A BETTER FUTURE,0.0,0.0,0.0,0,0.0,,OTHER
C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,0.0,0.0,0.0,0,0.0,,OTHER
C00569392,FOR JUDICAL FAIRNESS PROJECT; THE,0.0,0.0,0.0,0,0.0,,OTHER
C00569582,KANSAS AG COMMUNITIES COALITION,0.0,0.0,0.0,0,0.0,,OTHER
C00569616,WASHINGTON'S FUTURE,0.0,0.0,0.0,0,0.0,,OTHER
C00569996,ACTION PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00570721,LONG ISLAND LAW ENFORCEMENT FOUNDATION,0.0,0.0,0.0,0,0.0,,OTHER
C00571398,BLAKPAC,0.0,0.0,0.0,0,0.0,,OTHER
C00571554,LEADERSHIP ALLIANCE,0.0,0.0,0.0,0,0.0,,OTHER
C00571588,RESTORATION PAC,42999847.59,1.0,0.0,0,0.531993008189973,DEM,OTHER
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00572792,VICTORY FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00573733,SECURITY IS STRENGTH PAC,113690.75,0.9999934031572489,6.596842751060983e-06,0,0.0,REP,OTHER
C00574749,CONSERVATIVES FOR EFFECTIVE GOVERNMENT,1318294.55,0.9999995827943003,4.1720569965431054e-07,0,0.0,REP,OTHER
C00580837,IRON DOME ALLIANCE,0.0,0.0,0.0,0,0.0,,OTHER
C00581868,NEW DAY FOR AMERICA,,0.0,0.0,0,0.0,,OTHER
C00582072,SAVING OUR LAKES AND OPEN SPACES IN RANCHO MURIETA POLITICAL ACTION COMMITTEE,0.0,0.0,0.0,0,0.0,,OTHER
C00582700,LET AMERICA WORK,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00582841,COALITION FOR PROGRESS,0.0,0.0,0.0,0,0.0,,OTHER
C00586487,A TIME FOR CHOOSING,0.0,0.0,0.0,0,0.0,,OTHER
C00586610,GOOD JOBS AND STRONG COMMUNITIES PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00587022,COURAGEOUS CONSERVATIVES PAC,228736.51,1.0,0.0,0,0.0059164420883857285,REP,OTHER
C00589747,AMERICAN PATRIOTS LLC,0.0,0.0,0.0,0,0.0,,OTHER
C00591040,USA SUPER PAC INC,0.0,0.0,0.0,0,0.0,,OTHER
C00591131,FRUGAL HOOSIERS,0.0,0.0,0.0,0,0.0,,OTHER
C00592303,OREGON RIGHT TO LIFE VICTORY PAC,32556.3,0.9979328117752939,0.0020671882247060847,0,0.0,BIPARTISAN,OTHER
C00592337,"STAND FOR TRUTH, INC.",0.0,0.0,0.0,0,0.0,,OTHER
C00592808,THE COLLECTIVE SUPER PAC,0.0,1.0,0.0,0,0.0,DEM,OTHER
C00594507,MIDDLE CLASS VALUES PAC,23988.24,0.9999899950975978,1.0004902402216409e-05,0,0.0,DEM,OTHER
C00595686,FAMILY POLICY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00604496,AMERICANS UNITED FOR VALUES,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00607119,THE PALMETTO PAC,0.0,1.0,0.0,0,1.0,NON_PARTISAN,OTHER
C00609388,BLACKPAC,29393201.45,1.0,0.0,0,0.5876559696257755,DEM,OTHER
C00610337,CONSERVATIVE RESULTS,0.0,0.0,0.0,0,0.0,,OTHER
C00610394,LETS CLEAN UP WASHINGTON,0.0,0.0,0.0,0,0.0,,OTHER
C00612820,COMMUNITY CHANGE VOTERS,2562576.47,1.0,0.0,0,0.3895806472064224,DEM,OTHER
C00612846,THE DEMOCRATIC COALITION,0.0,0.0,0.0,0,0.0,,OTHER
C00613091,WISCONSIN RIGHT TO LIFE VICTORY FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00614859,SOLUTIONS NJ PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00615377,PACOH.IO,0.0,0.0,0.0,0,0.0,,OTHER
C00615898,FULL EMPLOYMENT NOW-POLITICAL ACTION COMMITTEE,0.0,0.0,0.0,0,0.0,,OTHER
C00616128,DEFEND LOUISIANA PAC,,0.0,0.0,0,0.0,,OTHER
C00619072,TEA PARTY EXPRESS CAMPAIGN FUND,0.0,0.0,0.0,0,0.0,,OTHER
C00619445,WARRIOR PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00619759,CREATIVE MAJORITY POLITICAL ACTION COMMITTEE,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00620971,FOR OUR FUTURE,11308766.16,1.0,0.0,0,0.8928038540594132,DEM,OTHER
C00621755,PEOPLE AND POLITICS,500.0,1.0,0.0,0,1.0,REP,OTHER
C00622340,JOBS AND OPPORTUNITY,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00622415,"KENTUCKY TOMORROW, INC.",0.0,0.0,0.0,0,0.0,,OTHER
C00622464,STANDING BY VETERANS PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00622472,"ASSOCIATION FOR EMERGENCY RESPONDERS AND FIREFIGHTERS, PAC",0.0,0.0,0.0,0,0.0,,OTHER
C00622910,"DECLARATION OF LIBERTY, LLC",0.0,0.0,0.0,0,0.0,,OTHER
C00623355,NATIONAL TREASURY EMPLOYEES UNION ADVOCACY COMMITTEE,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00623371,AMERICAN VALUES PAC INC.,0.0,0.0,0.0,0,0.0,,OTHER
C00624015,OUR NATION UNITED,0.0,0.0,0.0,0,0.0,,OTHER
C00624056,EDUCATORS FOR OHIO,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00624064,KENTUCKY MOVING FORWARD,,0.0,0.0,0,0.0,,OTHER
C00625137,CITZENS FOR AMERICAN ENERGY FEDERAL PAC,20000.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00625228,SAVE THE DAY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00626036,GRASSROOTS NORTH SHORE,1496.42,1.0,0.0,0,0.039174389216512215,DEM,OTHER
C00626119,"COMMITTEE FOR WORKING FAMILIES, SPONSORED BY LABOR ORGANIZATIONS",0.0,0.0,0.0,0,0.0,,OTHER
C00626663,STRONGER NY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00626861,WFP IE COMMITTEE,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00627075,LEGISLATIVE MAJORITY PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00627141,UNITED FOR PROGRESS PAC,324.0,1.0,0.0,0,0.0,DEM,OTHER
C00627158,ONE VOTE AT A TIME,0.0,0.0,0.0,0,0.0,,OTHER
C00627240,WORKING MICHIGAN (SUPERPAC),0.0,0.0,0.0,0,0.0,,OTHER
C00627372,UNITE HERE PAC,0.0,1.0,0.0,0,0.3202614379084967,NON_PARTISAN,OTHER
C00627414,POLICY OVER PARTY,0.0,1.0,0.0,0,0.19148936170212766,NON_PARTISAN,OTHER
C00628115,MISSOURI RIGHT TO LIFE VICTORY FUND,9392.0,1.0,0.0,0,0.0,REP,OTHER
C00629444,MAKE LOUISIANA GREAT AGAIN,0.0,0.0,0.0,0,0.0,,OTHER
C00629477,ULTRAVIOLET PAC,98901.28,1.0,0.0,0,1.0,DEM,OTHER
C00629543,"FREEDOM BUILDERS, INC.",0.0,0.0,0.0,0,0.0,,OTHER
C00630129,DEMOCRACY LEGACY,0.0,0.0,0.0,0,0.0,,OTHER
C00631549,FORWARD MAJORITY ACTION,1763615.0,1.0,0.0,0,0.6212941874822757,DEM,OTHER
C00631903,PA VALUES,48000.0,1.0,0.0,0,0.0,REP,OTHER
C00632679,CONSERVATIVE LOUISIANA,0.0,0.0,0.0,0,0.0,,OTHER
C00634261,DEFEND US PAC,1201000.0,1.0,0.0,0,0.0,DEM,OTHER
C00637041,FUND FOR A WORKING CONGRESS,35000.0,1.0,0.0,0,1.0,DEM,OTHER
