CMTE_ID,TTL_DISBURSEMENTS,PARTISAN_TOTAL,DISCREPANCY,DISCREPANCY_PCT
C00688655,9298927.91,18952982.0,-9654054.09,103.8190013239924
C00750224,486241.33,990746.0,-504504.67,103.75602378349862
C00612820,2562576.47,5219138.0,-2656561.53,103.66760021019002
C00879379,219946.44,447532.0,-227585.56,103.47317283244048
C00707844,10871401.77,22075758.0,-11204356.23,103.06266355566768
C00746107,2095787.18,4254746.0,-2158958.8200000003,103.01422017477941
C00890392,420000.0,852648.0,-432648.0,103.01142857142858
C00846428,417008.85,846554.0,-429545.15,103.00624315287314
C00882399,2717105.38,5506250.0,-2789144.62,102.65132300463075
C00688580,589941.0,1193880.0,-603939.0,102.37277965084644
C00487470,18476694.08,37349790.0,-18873095.92,102.14541539890021
C00811166,11828541.98,23908502.0,-12079960.02,102.12552012264152
C00738674,2638037.61,5331240.0,-2693202.39,102.0911293982651
C00835041,4401371.3,8889602.0,-4488230.7,101.97346222528421
C00568931,798283.66,1611740.0,-813456.34,101.90066272933606
C00866368,977611.87,1972756.0,-995144.13,101.79337634269928
C00817122,1280025.05,2582424.0,-1302398.95,101.74792673002766
C00858381,1513612.98,3050480.0,-1536867.02,101.53632667711399
C00864272,1433907.57,2886768.0,-1452860.43,101.32176301991348
C00880765,5083561.49,10232852.0,-5149290.51,101.2929718688226
C00852244,920812.22,1851608.0,-930795.78,101.08421237068292
C00734657,652727.99,1312448.0,-659720.01,101.07119965852851
C00799031,37859810.12,76091144.0,-38231333.88,100.98131437749535
C00473918,26409657.61,53046318.0,-26636660.39,100.8595445777913
C00886614,19033256.97,38225612.0,-19192355.03,100.83589508748172
C00882266,2311811.41,4642536.0,-2330724.59,100.81811085100578
C00857177,1666389.71,3346312.0,-1679922.29,100.81208974820181
C00865246,255663.47,513248.0,-257584.53,100.75140183304248
C00826263,1430488.95,2870440.0,-1439951.05,100.66145914653868
C00889279,311433.79,624864.0,-313430.21,100.64104155172117
C00883660,40052.81,80338.0,-40285.19,100.58018401205808
C00882381,3058375.12,6133142.0,-3074766.88,100.53596303124517
C00837443,21998.0,44094.0,-22096.0,100.44549504500408
C00833418,1490167.0,2985334.0,-1495167.0,100.3355328630952
C00508440,1437320.66,2879290.0,-1441969.34,100.32342678494584
C00609388,29393201.45,58849348.0,-29456146.55,100.21414849997568
C00887182,942418.03,1886594.0,-944175.97,100.18653505599843
C00870592,16581630.12,33190396.0,-16608765.88,100.16364953146115
C00872085,3819813.7,7643878.0,-3824064.3,100.11127767828047
C00848440,34535912.31,69074492.0,-34538579.69,100.00772349656222
C00852996,42050.0,84100.0,-42050.0,100.0
C00864421,8583.93,0.0,8583.93,100.0
C00854059,100000.0,200000.0,-100000.0,100.0
C00889584,125122.0,250244.0,-125122.0,100.0
C00889535,89851.0,179702.0,-89851.0,100.0
C00889196,40000.0,80000.0,-40000.0,100.0
C00879676,18500.0,37000.0,-18500.0,100.0
C00568444,850000.0,1700000.0,-850000.0,100.0
C00809830,115000.0,230000.0,-115000.0,100.0
C00567396,20000.0,40000.0,-20000.0,100.0
C00568964,200000.0,400000.0,-200000.0,100.0
C00828178,25000.0,50000.0,-25000.0,100.0
