CMTE_ID,CMTE_NM,OFFICE_SEGMENT,PTY_GROUP,IMBALANCE_SCORE,GRIDLOCK_PROPENSITY,TOTAL_DEM_DISB,TOTAL_REP_DISB,TOTAL_OTHER_DISB,TOTAL_PARTISAN_DISB,TTL_RECEIPTS,TTL_DISBURSEMENTS,IND_EXPEND,TTL_CONTRIB_TO_OTHER_CMTE,PTY_COORD_EXPEND,CMTE_TP,CMTE_DSGN,CVG_END_DT
C00874503,SPEAK FREE OR DIE PAC,OTHER,REP,1.0,0.0,0.0,2057950.0,0.0,2057950.0,1095000.0,1028979.89,,,,O,U,
C00874529,AMERICANS FOR PARENTAL RIGHTS,OTHER,REP,1.0,0.0,0.0,38000.0,0.0,38000.0,34400.0,19000.0,,,,O,U,
C00874750,GEN-DEMOCRACY,OTHER,DEM,1.0,0.0,581580.0,0.0,0.0,581580.0,971410.39,230724.6,,,,O,U,
C00874784,RISE UNITED,OTHER,BIPARTISAN,0.0,0.0,62496.0,62496.0,250000.0,124992.0,384009.43,62500.0,,,,O,U,
C00874842,VIRGINIA DEMOCRATIC ACTION PAC,OTHER,DEM,1.0,0.0,374564.0,0.0,0.0,374564.0,219086.04,187282.72,,,,O,U,
C00874875,VOTERS FOR RESPONSIVE GOVERNMENT (VRG),OTHER,DEM,1.0,0.0,6491624.0,0.0,1935122.0,6491624.0,3953704.02,3245816.88,,,,O,U,
C00874941,HOOSIER CONSERVATIVE ACTION PAC,OTHER,REP,1.0,0.0,0.0,77596.0,0.0,77596.0,40000.0,38799.98,,,,O,U,
C00875005,PROGRESS FOR ALABAMA,OTHER,DEM,1.0,0.0,93200.0,0.0,0.0,93200.0,65500.0,46600.0,,,,O,U,
C00875039,HIGH PLAINS PAC,OTHER,REP,1.0,0.0,0.0,1894880.0,110000.0,1894880.0,1396331.35,947440.0,,,,O,U,
C00875328,TRUE PATRIOTS PA,OTHER,REP,1.0,0.0,0.0,182588.0,0.0,182588.0,100000.0,91296.65,,,,U,U,
C00875443,ALLIANCE FOR BLACK EQUALITY,OTHER,REP,1.0,0.0,0.0,120000.0,30000.0,120000.0,206054.5,90000.0,,,,O,U,
C00875450,CENTER FORWARD INITIATIVE INC,OTHER,REP,1.0,0.0,0.0,782530.0,0.0,782530.0,427000.0,391272.8,,,,O,U,
C00875526,MAKE DC LISTEN PAC,OTHER,REP,1.0,0.0,0.0,1891828.0,475000.0,1891828.0,988700.0,945915.08,,,,O,U,
C00839159,TEAM WEST VIRGINIA,OTHER,REP,0.8806587361706093,0.0,129346.0,2038320.0,26000.0,2167666.0,2541200.0,708842.18,,,,O,U,
C00839464,COMMITTED TO AMERICA PAC,OTHER,REP,1.0,0.0,0.0,6150448.0,0.0,6150448.0,5378938.5,3075231.22,,,,O,U,
C00858779,"WE DESERVE BETTER, INC.",OTHER,DEM,1.0,0.0,538898.0,0.0,6394394.0,538898.0,5230656.84,2905066.39,,,,O,U,
C00859355,BATTLEGROUND NEW YORK,OTHER,DEM,0.94089495917858,0.0,15117724.0,460372.0,1990000.0,15578096.0,7738434.79,5851515.84,,,,O,U,
C00859611,RING THE BELL,OTHER,DEM,1.0,0.0,228698.0,0.0,0.0,228698.0,169650.0,114349.89,,,,O,U,
C00859660,NEW DEMOCRAT MAJORITY,OTHER,DEM,0.8219607525875887,0.0,1441324.0,140844.0,15000.0,1582168.0,989056.75,741088.11,,,,O,U,
C00875625,WIN FOR DEMOCRACY PAC,OTHER,DEM,1.0,0.0,55310.0,0.0,0.0,55310.0,150000.0,27655.0,,,,O,U,
C00875815,CALIFORNIANS FOR CHOICE,OTHER,REP,0.9219786033477817,0.0,153522.0,3781860.0,202500.0,3935382.0,6181944.33,1929315.92,,,,O,U,
C00875856,COMMONWEALTH UNITY FUND,OTHER,BIPARTISAN,0.6135198245605725,0.0,815964.0,3406576.0,0.0,4222540.0,2623999.79,2111275.41,,,,O,U,
C00876094,UNITY FIRST PAC,OTHER,REP,1.0,0.0,0.0,980000.0,0.0,980000.0,768000.0,490000.0,,,,O,U,
C00876128,COMMON SENSE COMMON GROUND PAC,OTHER,DEM,1.0,0.0,213244.0,0.0,10000.0,213244.0,116663.0,97823.0,,,,O,U,
C00876177,ENCINITAS CITIZEN REVIEW PANEL,OTHER,NON_PARTISAN,0.0,0.0,0.0,0.0,3433.0,0.0,13150.0,1108.0,,,,O,U,
C00876482,RETIRE CAREER POLITICIANS,OTHER,REP,1.0,0.0,0.0,14466816.0,20774130.0,14466816.0,18499651.33,17175380.13,,,,O,U,
C00876656,A SAFER STRONGER OREGON PAC,OTHER,DEM,1.0,0.0,154080.0,0.0,0.0,154080.0,93791.02,77040.0,,,,O,U,
C00876854,BARDO,OTHER,DEM,1.0,0.0,365580.0,0.0,0.0,365580.0,215471.5,172790.48,,,,O,U,
C00850032,DEPROGRAM AMERICA,OTHER,REP,1.0,0.0,0.0,32236.0,0.0,32236.0,127029.47,16144.55,,,,O,U,
C00850081,JERSEY DESERVES BETTER PAC,OTHER,REP,1.0,0.0,0.0,174936.0,75000.0,174936.0,101000.0,87469.75,,,,O,U,
C00850487,CONSERVATIVE LEADERS OF AMERICA,OTHER,REP,1.0,0.0,0.0,81394.0,0.0,81394.0,45600.0,40697.26,,,,O,U,
C00851279,VICTORY COALITION,OTHER,DEM,1.0,0.0,8720.0,0.0,0.0,8720.0,9600.0,4360.5,,,,O,U,
C00860106,SOUTHERN OHIO CONSERVATIVES PAC,OTHER,REP,1.0,0.0,0.0,160112.0,0.0,160112.0,96000.0,80059.6,,,,O,U,
C00860148,WEST MICHIGAN FOR CHANGE,OTHER,REP,0.9163224476444769,0.0,66000.0,1511484.0,0.0,1577484.0,1000000.0,788746.59,,,,O,U,
C00860155,MONTANA OUTDOOR VALUES ACTION FUND,OTHER,DEM,1.0,0.0,10083186.0,0.0,0.0,10083186.0,5272011.31,5041597.05,,,,O,U,
C00860312,AMERICA FIRST NORTH CAROLINA,OTHER,REP,1.0,0.0,0.0,135470.0,0.0,135470.0,90000.0,67736.53,,,,O,U,
C00860411,FREEDOM FOR THE PEOPLE PAC,OTHER,DEM,1.0,0.0,240000.0,0.0,50000.0,240000.0,223150.0,120000.0,,,,O,U,
